time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-09-24T20:27:17.670Z,-21.5401,-68.2949,94.87,5.1,mwr,,30,0.917,1.03,us,us10006scg,2016-09-25T01:59:24.440Z,"121km NNE of Calama, Chile",earthquake,6.1,5,0.042,54,reviewed,us,us
2016-09-24T17:15:10.870Z,-2.0144,140.6456,35.14,4.7,mb,,65,6.716,0.78,us,us10006sbt,2016-09-27T15:58:39.040Z,"57km N of Jayapura, Indonesia",earthquake,8.8,7.1,0.089,39,reviewed,us,us
2016-09-24T15:42:37.120Z,-2.0863,140.7066,31.44,4.8,mb,,64,6.655,1.06,us,us10006sbn,2016-09-24T15:59:43.040Z,"49km N of Jayapura, Indonesia",earthquake,9.1,5.8,0.094,35,reviewed,us,us
2016-09-24T11:27:45.910Z,-6.6745,128.9388,253.81,5,mb,,43,2.677,0.69,us,us10006sb3,2016-09-24T11:51:59.814Z,"298km WNW of Saumlaki, Indonesia",earthquake,8,7.2,0.067,72,reviewed,us,us
2016-09-24T11:09:43.880Z,-1.8517,140.5828,14.24,5.6,mb,,41,6.782,0.8,us,us10006sb0,2016-09-25T01:57:27.000Z,"76km N of Jayapura, Indonesia",earthquake,7,3.8,0.044,181,reviewed,us,us
2016-09-24T11:04:29.640Z,-1.9447,140.6174,10,5.6,mb,,40,6.745,0.75,us,us10006say,2016-09-25T01:57:26.000Z,"65km N of Jayapura, Indonesia",earthquake,8.3,1.9,0.051,133,reviewed,us,us
2016-09-24T10:52:06.690Z,34.5655,141.7619,10,4.9,mb,,127,2.099,1,us,us10006saw,2016-09-24T11:19:46.040Z,"147km ESE of Katsuura, Japan",earthquake,8.1,1.9,0.051,121,reviewed,us,us
2016-09-24T10:47:45.880Z,-5.7917,147.9086,84.77,4.5,mb,,72,3.665,0.65,us,us10006sav,2016-09-24T11:35:38.040Z,"89km N of Finschhafen, Papua New Guinea",earthquake,5.9,8.3,0.097,31,reviewed,us,us
2016-09-24T10:20:45.270Z,34.4759,141.7949,10,4.9,mb,,120,2.136,0.99,us,us10006sal,2016-09-24T12:57:40.529Z,"155km ESE of Katsuura, Japan",earthquake,7.2,1.9,0.056,101,reviewed,us,us
2016-09-24T09:41:57.950Z,-1.9383,140.5458,10,5.2,mb,,65,6.817,0.91,us,us10006sah,2016-09-24T10:00:59.040Z,"67km NNW of Jayapura, Indonesia",earthquake,8.9,1.9,0.065,77,reviewed,us,us
2016-09-24T07:50:22.890Z,-54.8456,-30.6314,16.52,5,mb,,65,3.455,0.69,us,us10006s9l,2016-09-24T08:05:31.040Z,"298km NW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,7.7,4.6,0.088,41,reviewed,us,us
2016-09-24T06:21:52.020Z,6.584,126.448,74.86,4.6,mb,,121,0.988,0.68,us,us10006s9c,2016-09-24T06:37:53.040Z,"33km SSE of Tamisan, Philippines",earthquake,8,7.3,0.084,42,reviewed,us,us
2016-09-24T05:39:17.210Z,57.2957,-33.53,10,4.7,mb,,38,7.222,0.65,us,us10006s97,2016-09-24T05:59:12.040Z,"Reykjanes Ridge",earthquake,8.9,1.9,0.069,64,reviewed,us,us
2016-09-24T05:21:06.780Z,57.9289,-33.6215,10,4.5,mb,,87,9.022,0.94,us,us10006s94,2016-09-24T06:03:21.040Z,"Reykjanes Ridge",earthquake,8.1,1.9,0.097,31,reviewed,us,us
2016-09-24T05:18:01.950Z,-17.5416,-178.3616,523.42,4.6,mb,,117,3.425,1.23,us,us10006s8y,2016-09-24T05:37:36.040Z,"270km ESE of Lambasa, Fiji",earthquake,12.5,13.6,0.1,30,reviewed,us,us
2016-09-24T04:42:41.160Z,57.1611,-33.3789,10,4.7,mb,,74,7.369,0.81,us,us10006s8s,2016-09-24T05:00:59.040Z,"Reykjanes Ridge",earthquake,2.9,1.9,0.042,175,reviewed,us,us
2016-09-24T04:26:17.350Z,57.2064,-33.3264,10,4.9,mb,,50,8.685,1.09,us,us10006s8p,2016-09-24T04:45:22.040Z,"Reykjanes Ridge",earthquake,6.8,1.9,0.031,337,reviewed,us,us
2016-09-24T04:02:13.090Z,-32.5504,-177.5591,10,5.8,mwp,,88,3.31,1.33,us,us10006s8f,2016-09-25T01:57:25.000Z,"177km SE of L'Esperance Rock, New Zealand",earthquake,10.4,1.9,,,reviewed,us,us
2016-09-24T01:49:11.070Z,56.0635,162.4543,44.48,4.5,mb,,143,3.766,0.7,us,us10006s7w,2016-09-24T02:14:43.040Z,"18km S of Ust'-Kamchatsk Staryy, Russia",earthquake,12.6,8.6,0.074,56,reviewed,us,us
2016-09-24T01:32:55.980Z,-54.9555,-30.7241,15.42,5,mb,,68,3.418,0.51,us,us10006s7r,2016-09-24T01:52:11.040Z,"294km NW of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,11.2,4.5,0.081,50,reviewed,us,us
2016-09-24T00:05:39.830Z,13.2366,-89.721,49.99,4.5,mb,,165,0.653,0.95,us,us10006s6u,2016-09-27T16:05:47.501Z,"41km SSE of Acajutla, El Salvador",earthquake,6.8,12.4,0.163,11,reviewed,us,us
2016-09-23T23:45:39.140Z,6.5121,126.5773,88.26,4.9,mb,,40,5.756,0.83,us,us10006s6l,2016-09-24T06:15:23.327Z,"47km SE of Tamisan, Philippines",earthquake,7.5,6.3,0.071,67,reviewed,us,us
